Student_ID,Name,Gender,Age,Study_Hours,Attendance,Assignments,Midterm,Previous_Score,Final,Average_Score,Improvement,Category
1,Ali,M,16,5,90,9,75,72,80,77.5,8,Very Good
2,Ahmed,M,15,3,70,6,55,60,58,56.5,-2,Needs Improvement
3,Sara,F,16,7,95,10,88,85,92,90.0,7,Excellent
4,Fatima,F,15,6,92,9,82,80,87,84.5,7,Very Good
5,Usman,M,16,2,65,5,48,52,50,49.0,-2,Needs Improvement
6,Ayesha,F,15,8,98,10,92,90,95,93.5,5,Excellent
7,Bilal,M,16,4,80,7,65,68,72,68.5,4,Good
8,Zain,M,15,3,75,6,58,62,65,61.5,3,Average
9,Maryam,F,16,9,99,10,95,94,98,96.5,4,Excellent
10,Hassan,M,15,1,55,4,40,45,42,41.0,-3,At Risk
11,Hina,F,16,6,88,8,78,75,82,80.0,7,Very Good
12,Hamza,M,15,5,85,8,72,70,76,74.0,6,Good
13,Noor,F,16,7,93,9,86,84,89,87.5,5,Very Good
14,Daniyal,M,15,2,60,5,50,48,52,51.0,4,Needs Improvement
15,Eman,F,16,8,97,10,90,91,94,92.0,3,Excellent
